"","PIP.Mean","PIP.SD"
"Age1",0.0655376501650165,0.147326765244264
"Age2",0.0508343498349835,0.0866601259993747
"LM",0.0511472079207921,0.104329722621598
"Site",0.0600534917491749,0.122642699851457
"Week1",0.0612188382838284,0.121383687990206
"Week2",0.0527691089108911,0.0913712511340302
"Week3",0.0534260858085809,0.0911368916356617
"Week4",0.0543898349834984,0.0945052511385435
"Age1:LM",0.0519015841584158,0.0875855246909291
"Age2:LM",0.053134402640264,0.0947332095685834
"Age1:Site",0.0444500198019802,0.0703650116003341
"Age2:Site",0.0473425610561056,0.0764753148524691
"LM:Site",0.0442784818481848,0.0705158519750697
"Age1:Week1",0.0518228778877888,0.0902208692112581
"Age2:Week1",0.0490030759075908,0.0789996340779694
"Age1:Week2",0.0492521188118812,0.079590699611695
"Age2:Week2",0.0497362244224423,0.080953901561281
"Age1:Week3",0.0493885940594059,0.0810385459719236
"Age2:Week3",0.0489882904290429,0.0793110145305831
"Age1:Week4",0.0487652541254126,0.0787693057545916
"Age2:Week4",0.0491680264026403,0.0800957000020973
"LM:Week1",0.0554246732673267,0.102847543275903
"LM:Week2",0.0545932145214522,0.104687205685865
"LM:Week3",0.049418402640264,0.0818146357473515
"LM:Week4",0.0506644620462046,0.0848835931327521
"Site:Week1",0.0504212937293729,0.0863794958720502
"Site:Week2",0.0560844884488449,0.0999041195391702
"Site:Week3",0.0492586138613861,0.080364652636491
"Site:Week4",0.0499020726072607,0.0815389632209399
"Age1:LM:Site",0.0462230627062706,0.0736575027131613
"Age2:LM:Site",0.0473685940594059,0.0762432294567211
"Age1:LM:Week1",0.0479712343234323,0.0781218516563501
"Age2:LM:Week1",0.0486624158415842,0.0786721330057206
"Age1:LM:Week2",0.0485011089108911,0.0785164976009658
"Age2:LM:Week2",0.049577201320132,0.0814412411537174
"Age1:LM:Week3",0.0500101518151815,0.0823401061283359
"Age2:LM:Week3",0.0485757755775578,0.0786307391187881
"Age1:LM:Week4",0.0485176765676568,0.0784069159737903
"Age2:LM:Week4",0.0489574785478548,0.0794867521529136
"Age1:Site:Week1",0.0481679339933994,0.0778905505435533
"Age2:Site:Week1",0.0472650429042904,0.0755621217584822
"Age1:Site:Week2",0.047398904290429,0.0759383810893241
"Age2:Site:Week2",0.0484235511551155,0.0780004200894162
"Age1:Site:Week3",0.0483970561056106,0.0778677704783218
"Age2:Site:Week3",0.0483766732673267,0.0781186110199382
"Age1:Site:Week4",0.048444501650165,0.0782801219631938
"Age2:Site:Week4",0.0486053861386139,0.0786142624024523
"LM:Site:Week1",0.0487346666666667,0.0786175294142471
"LM:Site:Week2",0.0483637095709571,0.0780341714202703
"LM:Site:Week3",0.0494602640264026,0.080686222171795
"LM:Site:Week4",0.0491253597359736,0.0797175478643844
"Age1:LM:Site:Week1",0.0476214653465346,0.076484378672076
"Age2:LM:Site:Week1",0.0480717887788779,0.0774136733890184
"Age1:LM:Site:Week2",0.0483569768976898,0.0780300607591467
"Age2:LM:Site:Week2",0.0484924884488449,0.078461533563447
"Age1:LM:Site:Week3",0.0487173861386139,0.0789591441306583
"Age2:LM:Site:Week3",0.0486160264026403,0.0786422974397039
"Age1:LM:Site:Week4",0.0487480792079208,0.079029139902994
"Age2:LM:Site:Week4",0.0487371881188119,0.0790050418563048
"Stratum",0.047469399339934,0.11027462999546
