"Num_Predictors","Best","Age","LM","Temp","pH","DO_ppm","Age:LM","Age:Temp","LM:Temp","Age:pH","LM:pH","Temp:pH","Age:DO_ppm","LM:DO_ppm","Temp:DO_ppm","pH:DO_ppm","Age:LM:Temp","Age:LM:pH","Age:Temp:pH","LM:Temp:pH","Age:LM:DO_ppm","Age:Temp:DO_ppm","LM:Temp:DO_ppm","Age:pH:DO_ppm","LM:pH:DO_ppm","Temp:pH:DO_ppm","Age:LM:Temp:pH","Age:LM:Temp:DO_ppm","Age:LM:pH:DO_ppm","Age:Temp:pH:DO_ppm","LM:Temp:pH:DO_ppm","Age:LM:Temp:pH:DO_ppm","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
31,"No",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3234,"6 hrs, 45 min, 38 sec",141839.273208729
30,"No",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3133,"6 hrs, 57 min, 13 sec",141738.082704259
29,"No",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3032,"6 hrs, 21 min, 13 sec",141684.455992704
28,"No",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,2931,"6 hrs, 24 min, 52 sec",141577.71956994
27,"No",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,2830,"6 hrs, 5 min, 11 sec",141568.85946324
26,"No",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,2729,"2 hrs, 49 min, 47 sec",141549.450198139
25,"No",1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,2628,"2 hrs, 40 min, 49 sec",141476.057836064
24,"No",1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,2527,"2 hrs, 36 min, 58 sec",141339.862856397
23,"No",1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,2426,"2 hrs, 30 min, 19 sec",141258.277781428
22,"No",1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,2325,"2 hrs, 29 min, 18 sec",141179.660219835
21,"No",1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,2224,"2 hrs, 26 min, 25 sec",141112.955936719
20,"No",1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,2123,"2 hrs, 20 min, 46 sec",141065.304210205
19,"No",1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,2022,"2 hrs, 23 min, 4 sec",141024.805957792
18,"No",1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1921,"2 hrs, 18 min, 45 sec",140946.961204788
17,"No",1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1820,"2 hrs, 13 min, 57 sec",140899.284039695
16,"No",1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1719,"1 hrs, 55 min, 22 sec",140864.138949457
15,"No",1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,2,3,1618,"2 hrs, 35 min, 18 sec",140816.704304976
14,"No",1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,4,6,1517,"2 hrs, 32 min, 48 sec",140792.041529989
13,"No",1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1416,"1 hrs, 36 min, 25 sec",140779.024680808
12,"No",1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1315,"1 hrs, 30 min, 57 sec",140763.403713597
11,"No",1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1214,"1 hrs, 26 min, 4 sec",140754.461516498
10,"Yes",1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1113,"1 hrs, 21 min, 31 sec",140706.140345859
9,"No",1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,3,1012,"1 hrs, 16 min, 11 sec",140714.693684825
