"Num_Predictors","Best","Stratum","Age","LM","Site","Week1","Week2","Age:LM","Age:Site","LM:Site","Age:Week1","Age:Week2","LM:Week1","LM:Week2","Site:Week1","Site:Week2","Age:LM:Site","Age:LM:Week1","Age:LM:Week2","Age:Site:Week1","Age:Site:Week2","LM:Site:Week1","LM:Site:Week2","Age:LM:Site:Week1","Age:LM:Site:Week2","Num_Rhats_gt_1.05","Num_Eff_SS_ls_100","Num_params","Run_Time","WAIC"
24,"No",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3435,"4 hrs, 43 min, 44 sec",140505.590255092
23,"No",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3334,"4 hrs, 27 min, 50 sec",140389.944660186
22,"No",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,3233,"3 hrs, 24 min, 11 sec",140338.289147818
21,"No",1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3132,"3 hrs, 14 min, 53 sec",140279.598356678
20,"No",1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3031,"3 hrs, 16 min, 26 sec",140236.541486688
19,"No",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2930,"3 hrs, 7 min, 0 sec",140182.477037545
18,"No",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,2829,"2 hrs, 59 min, 1 sec",140157.320419519
17,"No",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,2728,"3 hrs, 1 min, 3 sec",140114.383199649
16,"No",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,2627,"3 hrs, 0 min, 41 sec",140074.291422479
15,"Yes",1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,2526,"2 hrs, 43 min, 24 sec",140041.459152442
14,"No",1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,2425,"2 hrs, 40 min, 17 sec",140054.992424683
